place_id,userid,travel_date,point
4,10787,2017.1.21 0:10,5
4,9645,2017.1.24 0:09,5
4,8218,2017.1.6 0:09,4
4,10041,2017.1.8 0:07,5
4,11324,2017.1.1 0:07,5
4,9886,2017.1.8 0:06,4
4,8315,2016.1.19 0:12,4
4,10426,2016.1.30 0:09,5
4,912,2016.1.8 0:09,4
4,6094,2016.1.4 0:08,5
4,2771,2016.1.8 0:07,5
4,10172,2016.1.18 0:05,5
4,8177,2016.1.17 0:04,4
4,10583,2016.1.15 0:04,4
4,5677,2016.1.5 0:03,4
4,7571,2016.1.25 0:02,4
4,9956,2016.1.23 0:02,5
4,7253,2016.1.5 0:02,5
4,149,2016.1.18 0:01,5
4,9885,2015.1.27 0:12,5
4,5515,2015.1.27 0:10,4
4,9304,2015.1.11 0:09,5
4,8950,2015.1.9 0:05,3
4,1384,2013.1.31 0:03,4
4,7766,2012.1.6 0:12,4
4,9601,2012.1.9 0:09,4
4,9273,2012.1.28 0:03,5
4,7697,2012.1.6 0:02,4
4,5745,2018.1.4 0:11,4
4,9142,2017.1.29 0:07,5
4,4465,2017.1.29 0:01,5
4,6796,2015.1.31 0:05,4
4,5732,2022.1.24 0:02,4
4,11474,2020.1.12 0:04,4
4,11164,2020.1.10 0:01,4
4,203,2019.1.12 0:11,5
4,7738,2019.1.7 0:06,4
4,6279,2018.1.8 0:10,5
4,10798,2017.1.23 0:11,5
4,10787,2017.1.21 0:10,5
4,9645,2017.1.24 0:09,5
4,8218,2017.1.6 0:09,4
4,10041,2017.1.8 0:07,5
4,11324,2017.1.1 0:07,5
4,9886,2017.1.8 0:06,4
4,8315,2016.1.19 0:12,4
4,10426,2016.1.30 0:09,5
4,912,2016.1.8 0:09,4
4,6094,2016.1.4 0:08,5
4,2771,2016.1.8 0:07,5
4,10172,2016.1.18 0:05,5
4,8177,2016.1.17 0:04,4
4,10583,2016.1.15 0:04,4
4,5677,2016.1.5 0:03,4
4,7571,2016.1.25 0:02,4
